NewBudget,Score,Metascore,Genre,Genre1,Genre2,Genre3,Director,Revenue
40000000.0,6.7,,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,Mario Bava,0.0
8000000.0,7.2,64.0,"Drama, Romance",Drama, Romance,,Chris Weitz,1760000.0
1800000.0,6.4,74.0,"Drama, Thriller",Drama, Thriller,,Luca Guadagnino,1980000.0
20000000.0,7.8,80.0,"Crime, Drama",Crime, Drama,,Robert De Niro,17270000.0
2000000.0,7.2,77.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,John Lasseter,162800000.0
12000000.0,5.7,,"Comedy, Romance",Comedy, Romance,,Alex Zamm,0.0
11000000.0,8.0,77.0,"Comedy, Family",Comedy, Family,,Bob Clark,19290000.0
15000000.0,7.1,84.0,"Comedy, Drama",Comedy, Drama,,Arnaud Desplechin,1060000.0
18000000.0,5.9,25.0,"Comedy, Family, Romance",Comedy, Family, Romance,Mark Rosman,51440000.0
630019.0,8.3,80.0,"Crime, Drama, Sci-Fi",Crime, Drama, Sci-Fi,Stanley Kubrick,0.0
12000000.0,6.8,80.0,Comedy,Comedy,,,Michael Winterbottom,1250000.0
10000000.0,6.4,47.0,"Drama, Fantasy, Horror",Drama, Fantasy, Horror,Gore Verbinski,8110000.0
40000000.0,6.4,76.0,"Biography, Drama, Romance",Biography, Drama, Romance,David Cronenberg,5700000.0
60000000.0,7.7,,"Comedy, Musical, Sport",Comedy, Musical, Sport,Sam Wood,0.0
25000000.0,7.0,43.0,"Adventure, Comedy, Drama",Adventure, Comedy, Drama,Lasse Hallstr??m,64510000.0
14000000.0,8.2,,"Drama, Music",Drama, Music,,Elia Kazan,0.0
6000000.0,5.9,31.0,Comedy,Comedy,,,Crispian Mills,0.0
10000000.0,7.1,46.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Josh Lawson,20000.0
20000000.0,7.0,,"Comedy, Musical",Comedy, Musical,,Richard Lester,0.0
37000000.0,7.2,,"Action, Comedy, Crime",Action, Comedy, Crime,Jackie Chan,0.0
26000000.0,6.8,84.0,"Drama, Fantasy, Romance",Drama, Fantasy, Romance,David Lowery,1600000.0
28000000.0,7.0,81.0,"Drama, Horror",Drama, Horror,,Ana Lily Amirpour,0.0
11000000.0,5.6,27.0,"Comedy, Romance",Comedy, Romance,,Chris Koch,15410000.0
7000000.0,6.7,59.0,"Drama, Romance",Drama, Romance,,Michael Mayer,1030000.0
3000000.0,6.9,56.0,"Action, Adventure, Romance",Action, Adventure, Romance,Brian Helgeland,56570000.0
9600000.0,7.1,67.0,"Drama, Music",Drama, Music,,Yaron Zilberman,1560000.0
10000000.0,7.8,,"Drama, Romance",Drama, Romance,,Joseph L. Mankiewicz,0.0
15000000.0,6.4,35.0,"Comedy, Crime, Fantasy",Comedy, Crime, Fantasy,Danny Boyle,4270000.0
2240000.0,6.3,14.0,"Comedy, Drama, Fantasy",Comedy, Drama, Fantasy,Nicole Kassell,10000.0
1000000.0,6.5,51.0,"Drama, Romance",Drama, Romance,,Alan Rickman,550000.0
13000000.0,7.7,83.0,"Drama, Family, Fantasy",Drama, Family, Fantasy,Alfonso Cuar??n,10020000.0
8000000.0,6.3,,"Adventure, Crime, Thriller",Adventure, Crime, Thriller,Julian Gilbey,0.0
14000000.0,6.4,34.0,"Comedy, Drama",Comedy, Drama,,Pascal Chaumeil,10000.0
4000000.0,7.2,48.0,Drama,Drama,,,Shainee Gabel,160000.0
8000000.0,7.3,81.0,"Comedy, Music",Comedy, Music,,Christopher Guest,17510000.0
3300000.0,8.2,,"Drama, Romance",Drama, Romance,,John H. Lee,0.0
8000000.0,7.0,79.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,J.C. Chandor,5740000.0
35000000.0,6.4,,"Action, Crime, Thriller",Action, Crime, Thriller,Rowdy Herrington,0.0
2000000.0,6.2,31.0,"Drama, Fantasy, Mystery",Drama, Fantasy, Mystery,Akiva Goldsman,20000.0
7000000.0,7.9,,"Biography, Drama, History",Biography, Drama, History,Roy Ward Baker,0.0
12000000.0,7.5,76.0,Horror,Horror,,,Wes Craven,25500000.0
3000000.0,5.4,43.0,Horror,Horror,,,Jack Sholder,30000000.0
6000000.0,5.1,54.0,"Fantasy, Horror",Fantasy, Horror,,Stephen Hopkins,22170000.0
100000.0,8.0,,"Drama, Romance",Drama, Romance,,Guy Green,0.0
10000000.0,6.3,,"Adventure, Comedy, Romance",Adventure, Comedy, Romance,Pascal Chaumeil,0.0
21000000.0,6.5,58.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Julian Jarrold,200000.0
20000000.0,5.8,53.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,David M. Rosenthal,10000.0
5300000.0,8.3,88.0,"Drama, Music, Romance",Drama, Music, Romance,Bradley Cooper,154530000.0
9000000.0,6.4,59.0,"Drama, Music, Romance",Drama, Music, Romance,Frank Pierson,80000000.0
